㐀,廿一,TM
㛷,竹山女,HUV
㛸,女土口廿,VGRT
㛹,女人一大,VOMK
㛺,女卜廿日,VYTA
㛻,女大土土,VKGG
㛼,女竹十難,VHJX
㛽,女十火木,VJFD
㛾,女戈竹口,VIHR
㛿,女廿十月,VTJB
㜀,女木月山,VDBU
㜁,女木日一,VDAM
㜂,土戈女,GIV
㜃,女人卜口,VOYR
㜄,女竹弓戈,VHNI
㜅,女卜戈田,VYIW
㜆,女卜火木,VYFD
㜇,女土土心,VGGP
㜈,弓尸女,NSV
㜉,女女女山,VVVU
㜊,女尸廿女,VSTV
㜋,女廿金廿,VTCT
㜌,土女竹弓水,GVHNE
㜍,女戈中口,VILR
㜎,女月女大,VBVK
㜏,女口月金,VRBC
㜐,女山一廿,VUMT
㜑,水月女,EBV
㜒,女竹難廿,VHXT
㜓,女廿人口,VTOR
㜔,女卜廿山,VYTU
㜕,女卜十十,VYJJ
㜖,女廿田日,VTWA
㜗,女戈戈竹,VIIH
㜘,女卜心一,VYPM
㜙,女戈難心,VIXP
㜚,女十人日,VJOA
㜛,女十十人,VJJO
㜜,女土尸大,VGSK
㜝,女人戈田,VOIW
㜞,十中女,JLV
㜟,女弓十大,VNJK
㜠,女山人土,VUOG
㜡,女竹人人,VHOO
㜢,女中田女,VLWV
㜣,女月大火,VBKF
㜤,女一田十,VMWJ
㜥,女田中金,VWLC
㜦,女尸一戈,VSMI
㜧,女一廿人,VMTO
㜨,女尸水手,VSEQ
㜩,女竹月大,VHBK
㜪,卜中女,YLV
㜫,女竹人大,VHOK
㜬,女弓金口,VNCR
㜭,女火月田,VFBW
㜮,女尸戈廿,VSIT
㜯,女尸山火,VSUF
㜰,女女戈木,VVID
㜱,女竹中金,VHLC
㜲,女卜口弓,VYRN
㜳,女卜田女,VYWV
㜴,女廿田山,VTWU
㜵,女卜尸女,VYSV
㜶,女弓口戈,VNRI
㜷,弓月女,NBV
㜸,廿十女,TJV
㜹,女月山土,VBUG
㜺,女竹山金,VHUC
㜻,女女火心,VVFP
㜼,女田田一,VWWM
㜽,女女弓木,VVND
㜾,弓木人中中,NDOLL
㜿,弓木弓戈弓,NDNIN
㝀,田卜弓木,WYND
㝁,心日弓木,PAND
㝂,弓木手竹中,NDQHL
㝃,弓木弓日山,NDNAU
㝄,卜木心山,YDPU
㝅,土木竹弓水,GDHNE
㝆,弓木土口口,NDGRR
㝇,卜木卜口木,YDYRD
㝈,女火弓木木,VFNDD
㝉,十一,JM
㝊,十水,JE
㝋,十弓弓,JNN
㝌,十弓人,JNO
㝍,十卜尸一,JYSM
㝎,十戈弓人,JINO
㝏,十人中中,JOLL
㝐,十金戈,JCI
㝑,十卜竹尸,JYHS
㝒,十十口,JJR
㝓,十人一口,JOMR
㝔,十卜金大,JYCK
㝕,十心水,JPE
㝖,十弓戈弓,JNIN
㝗,十戈日女,JIAV
㝘,十卜一口,JYMR
㝙,十一土金,JMGC
㝚,十弓大一,JNKM
㝛,十人一田,JOMW
㝜,十廿日,JTA
㝝,十木木,JDD
㝞,十一中一,JMLM
㝟,十一月山,JMBU
㝠,十日卜金,JAYC
㝡,十尸十水,JSJE
㝢,十竹中月,JHLB
㝣,十手竹大,JQHK
㝤,十廿廿月,JTTB
㝥,十女一木,JVMD
㝦,十人土尸,JOGS
㝧,十女人人土,JVOOG
㝨,十土口女,JGRV
㝩,十戈中水,JILE
㝪,十土十戈,JGJI
㝫,十弓中一,JNLM
㝬,十口手人,JRQO
㝭,十心日一,JPAM
㝮,十山火水,JUFE
㝯,十竹大月,JHKB
㝰,十竹山尸,JHUS
㝱,十女一弓,JVMN
㝲,十女一月,JVMB
㝳,木戈,DI
㝴,一山木戈,MUDI
㝵,日一木戈,AMDI
㝶,田中竹山戈,WLHUI
㝷,尸一一戈戈,SMMII
㝸,火竹日山,FHAU
㝹,火竹弓日山,FHNAU
㝺,廿金火竹,TCFH
㝻,廿一火竹,TMFH
㝼,大山一木,KUMD
㝽,大山水,KUE
㝾,大山大一,KUKM
㝿,大山木竹水,KUDHE
㞀,大山大火,KUKF
㞁,大山日心,KUAP
㞂,大山月女,KUBV
㞃,金口戈大山,CRIKU
㞄,大山大中山,KUKLU
㞅,大山田木,KUWD
㞆,大山大一口,KUKMR
㞇,大山田一女,KUWMV
㞈,大山戈尸月,KUISB
㞉,大山廿手一,KUTQM
㞊,山火大山,UFKU
㞋,尸水,SE
㞌,尸弓木,SND
㞍,尸大弓戈,SKNI
㞎,尸日山,SAU
㞏,尸竹戈人,SHIO
㞐,尸卜廿,SYT
㞑,尸水山,SEU
㞒,尸竹月山,SHBU
㞓,尸心日,SPA
㞔,尸弓戈弓,SNIN
㞕,尸金月,SCB
㞖,尸木月,SDB
㞗,尸戈十水,SIJE
㞘,尸一尸人,SMSO
㞙,尸竹山水,SHUE
㞚,尸竹十難,SHJX
㞛,尸竹人日,SHOA
㞜,尸竹人女,SHOV
㞝,戈火尸,IFS
㞞,尸竹人人,SHOO
㞟,尸廿田大,STWK
㞠,尸大金火,SKCF
㞡,尸一一女,SMMV
㞢,山一,UM
㞣,山金尸竹,UCSH
㞤,山人,UO
㞥,山人,UO
㞦,山竹弓,UHN
㞧,山弓竹尸,UNHS
㞨,山弓木,UND
㞩,山竹弓戈,UHNI
㞪,弓一一山,NMMU
㞫,山戈弓人,UINO
㞬,山一,UM
㞭,大山,KU
㞮,山弓戈,UNI
㞯,尸山山,SUU
㞰,山人十,UOJ
㞱,山日,UA
㞲,山中,UL
㞳,山卜十,UYJ
㞴,山竹女心,UHVP
㞵,山卜大,UYK
㞶,山卜大,UYK
㞷,山一土,UMG
㞸,山一火,UMF
㞹,山一弓口,UMNR
㞺,山人大,UOK
㞻,山口一尸,URMS
㞼,弓水山,NEU
㞽,山戈女,UIV
㞾,山尸心,USP
㞿,山土大,UGK
㟀,竹木山,HDU
